roundnr;stepnr;Player;A;B;C;Total;NULL index;ec;nofworms;my decision;PC Status;count down paus;EC Name;WC Name;Winner;ecset;wormset
36;70;Player 0;0;10;75;0;[2, 3];10;0;True;;0;EC:Input:B =10;;;{0, 7, 10, 13, 21, 24, 28, 29, 30};{0, 2, 3, 4, 5, 6, 7, 8}
36;71;Player 1;10;30;25;-200;[3];17;0;True;;0;EC:Input:C =25;;;{0, 7, 10, 13, 17, 21, 24, 28, 29, 30};{0, 2, 3, 4, 5, 6, 7, 8}
37;72;Player 0;0;10;-20;0;[2, 3, 1];25;2;True;;0;EC:Task: T += sum all;"{' WC Name: B=NULL; ', ' WC Name: C=-20 '}";;{0, 7, 10, 13, 17, 21, 24, 25, 28, 29, 30};{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
37;73;Player 1;10;30;45;-200;[3];18;0;True;;0;EC:Input:C =45;;;{0, 7, 10, 13, 17, 18, 21, 24, 25, 28, 29, 30};{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
38;74;Player 0;0;70;-20;0;[2, 3, 1, 0];14;1;True;;0;EC:Input:B =70;"{' WC Name: A=NULL; '}";;{0, 7, 10, 13, 14, 17, 18, 21, 24, 25, 28, 29, 30};{0}
38;75;Player 1;10;30;45;-200;[3];12;0;True;;0;EC:Input:B =30;;;{0, 7, 10, 12, 13, 14, 17, 18, 21, 24, 25, 28, 29, 30};{0}
39;76;Player 0;0;70;57;0;[3, 1, 0];2;1;True;;0;EC:Input:2 digit number<90;{' WC Name: T =xx00 '};;{0, 2, 7, 10, 12, 13, 14, 17, 18, 21, 24, 25, 28, 29, 30};{0, 6}
39;77;Player 1;10;30;45;-200;[3, 1, 2];27;2;True;;0;EC:Task: x = 2x ! total;"{' WC Name: B=NULL; ', ' WC Name: C=NULL; '}";;{0, 2, 7, 10, 12, 13, 14, 17, 18, 21, 24, 25, 27, 28, 29, 30};{0, 1, 2, 6}
40;78;Player 0;0;70;57;-100;[3, 1, 0];20;1;True;;0;EC:Task: T += A+B;{' WC Name: T -=100 '};;{0, 2, 7, 10, 12, 13, 14, 17, 18, 20, 21, 24, 25, 27, 28, 29, 30};{0, 1, 2, 4, 6}
40;79;Player 1;0;-1;45;-200;[3, 1, 2];22;1;True;;0;EC:Task: T += A+B+C;{' WC Name: A=0,B=-1,C=N '};;{0, 2, 7, 10, 12, 13, 14, 17, 18, 20, 21, 22, 24, 25, 27, 28, 29, 30};{0, 1, 2, 4, 6, 7}
41;80;Player 0;0;70;5;-100;[3, 1, 0];15;0;True;;0;EC:Input:C =5;;;{0, 2, 7, 10, 12, 13, 14, 15, 17, 18, 20, 21, 22, 24, 25, 27, 28, 29, 30};{0, 1, 2, 4, 6, 7}
41;81;Player 1;75;-1;45;-200;[3, 1, 2];8;0;True;;0;EC:Input:A =75;;;{0, 2, 7, 8, 10, 12, 13, 14, 15, 17, 18, 20, 21, 22, 24, 25, 27, 28, 29, 30};{0, 1, 2, 4, 6, 7}
42;82;Player 0;0;20;5;-100;[3, 1, 0];11;0;True;;0;EC:Input:B =20;;;{0, 2, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 20, 21, 22, 24, 25, 27, 28, 29, 30};{0, 1, 2, 4, 6, 7}
42;83;Player 1;5;-1;45;-200;[3, 1, 2];4;0;True;;0;EC:Input:A =5;;;{0, 2, 4, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 20, 21, 22, 24, 25, 27, 28, 29, 30};{0, 1, 2, 4, 6, 7}
43;84;Player 0;25;20;5;-100;[3, 1, 0];6;0;True;;0;EC:Input:A =25;;;{0, 2, 4, 6, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 20, 21, 22, 24, 25, 27, 28, 29, 30};{0, 1, 2, 4, 6, 7}
43;85;Player 1;5;-1;45;10;[1, 2];9;0;True;;0;EC:Input: sum dice of all players;;;{0, 2, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 20, 21, 22, 24, 25, 27, 28, 29, 30};{0, 1, 2, 4, 6, 7}
44;86;Player 0;25;20;-20;-100;[3, 1, 0];19;1;True;;0;EC:Input:C =75;{' WC Name: C=-20 '};;{0, 2, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 24, 25, 27, 28, 29, 30};{0, 1, 2, 4, 6, 7, 9}
44;87;Player 1;5;17;45;10;[2];3;0;True;;0;EC:Input:2 digit number<30;;;{0, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 24, 25, 27, 28, 29, 30};{0, 1, 2, 4, 6, 7, 9}
45;88;Player 0;25;0;0;-100;[3, 1, 0];26;2;True;;0;EC:Task: T += B+(2*A);"{' WC Name: B,C=0; ', ' WC Name: B=-10 '}";;{0, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30};{0, 1, 2, 3, 4, 6, 7, 8, 9}
45;89;Player 1;10;17;45;10;[2];5;0;True;;0;EC:Input:A =10;;;{0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30};{0, 1, 2, 3, 4, 6, 7, 8, 9}
46;90;Player 0;25;0;0;-100;[3, 1, 0];23;1;True;['CPU1Captured'];0;EC:Task: T = xx9x;{' WC Name: Capture CPU '};;{0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30};{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
46;91;Player 1;10;17;20;10;[0];1;1;True;;0;EC:Input:2 digit number<50;"{' WC Name: A=NULL; '}";;{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30};{0}
47;92;Player 0;25;0;0;-100;[3, 1, 0];0;0;False;['CPU1Captured'];1;;;;{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30};{0}
47;93;Player 1;10;17;15;10;[0];16;0;True;;0;EC:Input:C =15;;;{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30};{0}
48;94;Player 0;25;0;0;-100;[3, 1, 0];0;0;False;['CPU1Captured'];2;;;;{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30};{0}
48;95;Player 1;78;17;15;0;;0;1;True;;0;EC:Input:2 digit number;{' WC Name: T =xx00 '};;{0, 28, 29, 30};{0, 6}
49;96;Player 0;50;0;0;-100;[3, 1, 0];7;0;True;;0;EC:Input:A =50;;;{0, 7, 28, 29, 30};{0, 6}
49;97;Player 1;78;17;15;110;;25;2;True;;0;EC:Task: T += sum all;;Player 1;{0, 7, 25, 28, 29, 30};{0, 6}
